[19Dec2024 00:02:30.752] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 12], pos: MutableBlockPos{x=-280, y=145, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:30.756] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 12], pos: MutableBlockPos{x=-275, y=146, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:30.757] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 12], pos: MutableBlockPos{x=-276, y=147, z=195}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:30.757] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 12], pos: MutableBlockPos{x=-269, y=147, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:30.757] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 12], pos: MutableBlockPos{x=-269, y=146, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:30.758] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 12], pos: MutableBlockPos{x=-269, y=145, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:31.502] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-14, 10], pos: MutableBlockPos{x=-221, y=61, z=168}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:31.502] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-14, 10], pos: MutableBlockPos{x=-223, y=62, z=172}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:31.502] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-14, 11], pos: MutableBlockPos{x=-222, y=61, z=177}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:31.502] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-14, 11], pos: MutableBlockPos{x=-221, y=62, z=178}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.216] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=135, z=168}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.216] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=134, z=168}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.216] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=133, z=168}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.216] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=135, z=169}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
